company,# applications,avg_wages
PRICEWATERHOUSECOOPERS,6395,"$93,956"
DELOITTE CONSULTING,3473,"$105,680"
ERNST YOUNG,2671,"$93,008"
DELOITTE TOUCHE,2409,"$71,629"
MPHASIS CORPORATION,1767,"$80,869"
CAPGEMINI FINANCIAL SERVICES,1173,"$97,349"
WIPRO LIMITED,1172,"$68,383"
TATA CONSULTANCY SERVICES LIMITED,946,"$70,823"
IGATE TECHNOLOGIES,817,"$70,229"
GOLDMAN SACHS,767,"$113,356"
JPMORGAN CHASE,694,"$118,328"
DELOITTE,669,"$82,587"
BLOOMBERG,637,"$131,232"
PRICEWATERHOUSECOOPERS ADVISORY,600,"$69,004"
AMAZON CORPORATE,541,"$119,728"
MORGAN STANLEY,496,"$113,383"
ITNEWTON,482,"$63,417"
DELOITTE TRANSACTIONS BUSINESS ANALYTICS,450,"$88,490"
INFOSYS LIMITED,437,"$76,938"
EXLSERVICE,430,"$101,231"
CAPITAL MARKETS,417,"$116,751"
MERRILL LYNCH,400,"$128,910"
MINDTREE LIMITED,350,"$74,535"
BANK AMERICA,332,"$122,402"
CREDIT SUISSE SECURITIES,311,"$116,998"
GOOGLE,297,"$128,126"
COLUMBIA UNIVERSITY,288,"$68,131"
LARSEN TOUBRO INFOTECH LIMITED,280,"$75,424"
POLARIS SOFTWARE,261,"$62,607"
SYNTEL CONSULTING,247,"$77,301"
SECURITIES,239,"$114,769"
ACCENTURE,237,"$90,847"
KPMG,233,"$100,363"
CITIGROUP GLOBAL MARKETS,228,"$118,605"
BARCLAYS SERVICES CORP,225,"$115,085"
BLACKROCK FINANCIAL MANAGEMENT,224,"$86,537"
AMERICA,223,"$86,092"
SYNTEL,221,"$85,357"
MOUNT SINAI MEDICAL CENTER,220,"$78,547"
COVANSYS CORPORATION,220,"$56,217"
CITIBANK,207,"$108,051"
HEADSTRONG SERVICES,197,"$81,798"
DEUTSCHE BANK SECURITIES,189,"$119,656"
CORPORATION,172,"$115,445"
GEMINIITLABS,166,"$66,250"
MEMORIAL SLOAN KETTERING CANCER CENTER,158,"$70,806"
TECH MAHINDRA,149,"$78,820"
BARCLAYS CAPITAL,149,"$140,501"
MCKINSEY COMPANY UNITED STATES,147,"$142,676"
YORK UNIVERSITY SCHOOL MEDICINE,147,"$59,550"
YORK UNIVERSITY,141,"$90,664"
BOSTON CONSULTING GROUP,139,"$149,558"
WEILL CORNELL MEDICAL COLLEGE,139,"$60,131"
BIRLASOFT,135,"$60,065"
DEUTSCHE BANK YORK BRANCH,131,"$127,337"
IDEO,130,"$77,947"
ASSOCIATES,129,"$77,563"
CONSULTING,126,"$67,871"
JEFFERIES,126,"$107,591"
BLACKROCK INVESTMENT MANAGEMENT,118,"$93,954"
NESS,117,"$81,402"
FUJITSU AMERICA,108,"$86,410"
CAPITAL MARKETS COMPANY,105,"$107,973"
DELOITTE FINANCIAL ADVISORY SERVICES,105,"$95,071"
TANISHA SYSTEMS,102,"$67,352"
GROUP,102,"$84,321"
HITACHI CONSULTING CORPORATION,98,"$89,851"
ROYAL BANK CANADA,98,"$146,875"
COMPREHAB,97,"$65,593"
SAPIENT CORPORATION,95,"$105,042"
SYNECHRON,94,"$92,741"
ALBERT EINSTEIN COLLEGE MEDICINE YESHIVA,93,"$53,199"
CROSSCOUNTRY CONSULTING,91,"$87,165"
TECHNOLOGIES,90,"$68,854"
COMPUTEK SOULUTIONS,81,"$64,237"
BLACKROCK INSTITUTIONAL TRUST COMPANY,81,"$92,599"
SOLUTIONS,79,"$65,421"
AMERICAS SECURITIES,78,"$125,797"
VERITAS HEALTHCARE SOLUTIONS,78,"$53,368"
MORGAN STANLEY SMITH BARNEY,75,"$105,092"
FINANCIAL SERVICES,73,"$98,050"
KFORCE,72,"$93,484"
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY,69,"$107,322"
WHITE CASE,69,"$163,120"
THOMSON REUTERS,68,"$104,011"
BOOZ COMPANY,67,"$113,946"
